Tournament,PlayerID,Name,FName,Club,Lineup,Position,Price
1126770,4684653,O'Reilly,Nico,ENG,expected,defender,12.5
1126770,4684654,Mainoo,Kobbie,ENG,unexpected,midfielder,11.7
1126770,4685047,Tagnaouti,Ahmed Reda,MAR,unexpected,goalkeeper,6
1126770,4685048,Diop,Issa,MAR,expected,defender,5.7
1126770,4685049,Halhal,Redouane,MAR,unexpected,defender,5.5
1126770,4685050,El Mourabet,Samir,MAR,unexpected,midfielder,5.6
1126770,4685051,Bouaddi,Ayyoub,MAR,expected,midfielder,6
1126770,4685052,Talbi,Chemsdine,MAR,unexpected,midfielder,6.7
1126770,4685053,Yassine,Gessime,MAR,unexpected,midfielder,7.1
1126770,4685054,Amaimouni,Ayoube,MAR,unexpected,midfielder,6.3
1126770,4685055,Dest,Sergiño,USA,expected,defender,11.9
1126770,4685056,Brady,Chris,USA,unexpected,goalkeeper,12
1126770,4685057,Zendejas,Alex,USA,unexpected,midfielder,11.4
1126770,4685590,Roefs,Robin,NED,unexpected,goalkeeper,8.8
1126770,4685591,de Roon,Marten,NED,unexpected,midfielder,7.7
1126770,4685592,Til,Guus,NED,unexpected,midfielder,8.2
1126770,4685593,Summerville,Crysencio,NED,expected,midfielder,10.1
1126770,4686357,Martinez,Guillermo,MEX,unexpected,forward,8.8
1126770,4686369,Alcivar,Jordy,ECU,unexpected,midfielder,6.9
